12V:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C39:1
C4:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C5:1
C52:2
C53:1
C54:1
C55:1
C56:1
C57:1
C58:1
C59:1
C6:1
C60:1
C61:1
C66:1
C67:1
C68:1
C69:1
C7:1
C70:1
C71:1
C72:1
C73:1
C74:1
C75:1
C76:1
C77:1
C78:1
C79:1
C8:1
C80:1
C81:1
C82:1
C83:1
C84:1
C85:1
C86:1
C87:1
C9:1
D1:1
D2:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D32:1
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D4:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D47:1
D48:1
D49:1
D50:1
D51:1
D52:1
F1:1
F2:1
F3:1
F4:1
GND:1
J1:1
J11:1
J16:1
J2:1
J26:1
J27:1
J28:1
J29:1
J3:1
J30:1
J31:1
J32:1
J33:1
J34:1
J35:1
J36:1
J37:1
J38:1
J39:1
J4:1
J40:1
J41:1
J42:1
J43:1
J44:1
J45:1
J46:1
J47:1
J48:1
J49:1
J5:1
J50:1
J51:1
J52:1
J53:1
J54:1
J55:1
J56:1
J57:1
J58:1
J59:1
J6:1
J60:1
J61:1
J62:1
J63:1
J64:1
J65:1
J66:1
J67:1
J68:1
J69:1
L1:1
L2:1
L3:1
L4:1
L5:1
R1:1
R10:1
R100:1
R101:1
R102:1
R103:1
R104:1
R105:1
R106:1
R107:1
R108:1
R109:1
R11:1
R110:1
R111:1
R112:1
R113:1
R114:1
R115:1
R116:1
R117:1
R118:1
R119:1
R12:1
R120:1
R121:1
R122:1
R123:1
R124:1
R125:1
R126:1
R127:1
R128:1
R129:1
R13:1
R130:1
R131:1
R132:1
R133:1
R134:1
R135:1
R136:1
R137:1
R138:1
R139:1
R14:1
R140:1
R141:1
R142:1
R143:1
R144:1
R145:1
R146:1
R147:1
R148:1
R149:1
R15:1
R150:1
R151:1
R152:1
R153:1
R154:1
R155:1
R156:1
R157:1
R158:1
R159:1
R16:1
R160:1
R161:1
R162:1
R163:1
R164:1
R165:1
R166:1
R167:1
R168:1
R169:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R5:1
R52:1
R53:1
R54:1
R55:1
R6:1
R60:1
R61:1
R7:1
R8:1
R80:1
R81:1
R82:1
R83:1
R84:1
R85:1
R86:1
R87:1
R88:1
R89:1
R9:1
R90:1
R91:1
R92:1
R93:1
R94:1
R98:1
R99:1
SW1:1
SW2:1
U1:1
U10:1
U11:1
U14:1
U16:1
U17:1
U18:1
U19:1
U2:1
U20:1
U21:1
U22:1
U23:1
U24:1
U25:1
U26:1
U27:1
U28:1
U29:1
U30:1
U31:1
U32:1
U33:1
U34:1
U35:1
U4:1
U5:1
U7:1
U8:1
U9:1
VBUS:1
