Designator,Mid X,Mid Y,Rotation,Layer
J66,161.3325,-43.4625,180.0,top
J67,161.3425,-50.2225,180.0,top
J68,75.41,-46.965,180.0,top
J69,95.7225,-46.9775,180.0,top
L1,68.4125,-131.4525,90.0,top
L2,97.4016,-123.7825,90.0,top
L3,143.3025,-115.8268,90.0,top
L4,77.2116,-115.3525,0.0,top
L5,106.2016,-107.6825,0.0,top
R1,160.05,-116.3375,0.0,top
R10,164.78,-122.925,270.0,top
R100,135.482629,-69.877236,270.0,top
R101,137.832629,-69.042236,180.0,top
R102,118.1875,-69.8225,270.0,top
R103,120.5125,-69.0375,180.0,top
R104,101.0275,-69.8325,270.0,top
R105,103.3775,-69.0475,180.0,top
R106,129.277371,-112.657764,270.0,top
R107,127.187371,-115.162764,0.0,top
R108,126.882629,-69.792236,270.0,top
R109,129.207629,-68.982236,180.0,top
R11,61.8025,-123.2725,180.0,top
R110,109.5325,-69.8475,270.0,top
R111,111.8825,-69.0375,180.0,top
R112,92.2875,-69.7725,270.0,top
R113,94.6625,-68.9875,180.0,top
R114,83.6225,-69.8225,270.0,top
R115,85.9725,-69.0375,180.0,top
R116,66.5075,-69.7875,270.0,top
R117,68.8575,-68.9525,180.0,top
R118,75.0625,-69.8225,270.0,top
R119,77.3875,-69.0125,180.0,top
R12,61.7625,-122.2825,0.0,top
R120,60.1275,-67.445,180.0,top
R121,60.1075,-69.0025,180.0,top
R122,170.3625,-133.8625,180.0,top
R123,170.3375,-126.3125,180.0,top
R124,164.7125,-137.21,270.0,top
R125,165.7625,-137.1625,270.0,top
R126,163.6625,-137.225,90.0,top
R127,167.2325,-136.7225,180.0,top
R128,170.32,-113.5425,180.0,top
R129,170.3325,-120.2225,180.0,top
R13,90.7916,-115.601409,180.0,top
R130,164.6375,-127.345,90.0,top
R131,165.6875,-127.345,90.0,top
R132,163.5875,-127.35,270.0,top
R133,166.7625,-127.345,270.0,top
R134,173.27,-93.7675,180.0,top
R135,174.4625,-85.09,90.0,top
R136,168.54375,-101.07875,90.0,top
R137,167.54375,-101.08875,90.0,top
R138,169.54375,-101.02875,270.0,top
R139,166.54375,-101.07875,270.0,top
R14,90.7516,-114.611409,0.0,top
R140,173.27625,-100.50875,180.0,top
R141,173.28875,-107.26375,180.0,top
R142,168.59375,-110.85875,270.0,top
R143,167.59375,-110.86875,270.0,top
R144,169.59375,-110.85875,90.0,top
R145,166.59375,-110.87875,90.0,top
R146,176.53,-44.5275,0.0,top
R147,176.555,-52.0275,0.0,top
R148,182.1425,-41.195,90.0,top
R149,181.1425,-41.195,90.0,top
R15,166.78,-112.975,270.0,top
R150,183.1425,-41.175,270.0,top
R151,180.1425,-41.175,270.0,top
R152,176.505,-64.7625,0.0,top
R153,176.5375,-58.0475,0.0,top
R154,182.1925,-50.975,270.0,top
R155,181.1925,-50.985,270.0,top
R156,183.1925,-50.965,90.0,top
R157,180.1925,-50.975,90.0,top
R158,154.6975,-62.0625,180.0,top
R159,154.7475,-55.3125,180.0,top
R16,163.78,-113.015,270.0,top
R160,149.36,-56.475,270.0,top
R161,150.36,-56.475,270.0,top
R162,148.36,-56.525,90.0,top
R163,151.36,-56.475,90.0,top
R164,154.7175,-41.0125,180.0,top
R165,154.8425,-47.8925,180.0,top
R166,149.46,-46.655,90.0,top
R167,150.46,-46.645,90.0,top
R168,148.46,-46.635,270.0,top
R169,151.46,-46.645,270.0,top
R17,166.78,-122.925,90.0,top
R18,163.78,-122.925,90.0,top
R19,59.2475,-122.791409,270.0,top
R2,160.05,-124.0625,0.0,top
R20,88.2366,-115.121409,270.0,top
R21,134.0225,-112.8025,90.0,top
R22,63.6725,-121.7925,180.0,top
R23,92.6625,-114.1225,180.0,top
R24,63.3025,-116.6425,90.0,top
R25,61.8425,-116.191409,0.0,top
R26,92.2891,-108.966409,90.0,top
R27,90.8316,-108.521409,0.0,top
R28,168.8825,-83.0725,0.0,top
R29,168.835,-88.9625,0.0,top
R3,160.06,-136.7375,0.0,top
R30,146.915,-75.6925,0.0,top
R4,160.1125,-129.8475,0.0,top
R40,136.4425,-112.2725,0.0,top
R41,135.0225,-112.7925,270.0,top
R42,55.9875,-117.8925,0.0,top
R43,84.9741,-110.221409,0.0,top
R44,65.1825,-119.461409,270.0,top
R45,94.1716,-111.791409,270.0,top
R46,63.1025,-118.961409,270.0,top
R47,92.0916,-111.291409,270.0,top
R5,75.2125,-126.3025,270.0,top
R52,134.8875,-131.56,180.0,top
R53,140.6025,-130.11,0.0,top
R54,64.2425,-116.6425,90.0,top
R55,93.2291,-108.966409,90.0,top
R6,104.2016,-118.6575,90.0,top
R60,65.1825,-116.6425,90.0,top
R61,94.1691,-108.966409,90.0,top
R7,165.78,-113.025,90.0,top
R8,164.78,-113.025,90.0,top
R80,113.46,-60.45,180.0,top
R81,113.45,-59.25,180.0,top
R82,158.3525,-110.3675,270.0,top
R83,156.8525,-110.3675,270.0,top
R84,72.59,-60.37,180.0,top
R85,72.59,-59.17,180.0,top
R86,92.99,-60.37,180.0,top
R87,92.99,-59.17,180.0,top
R88,133.7,-60.37,180.0,top
