Designator,Mid X,Mid Y,Rotation,Layer
L2,604.4016,-3.5625,90.0,top
L3,650.3025,4.3932,90.0,top
L4,584.2116,4.8675,0.0,top
L5,613.2016,12.5375,0.0,top
R1,667.05,3.8825,0.0,top
R10,671.78,-2.705,270.0,top
R100,642.482629,50.342764,270.0,top
R101,644.832629,51.177764,180.0,top
R102,625.1875,50.3975,270.0,top
R103,627.5125,51.1825,180.0,top
R104,608.0275,50.3875,270.0,top
R105,610.3775,51.1725,180.0,top
R106,636.277371,7.562236,270.0,top
R107,634.187371,5.057236,0.0,top
R108,633.882629,50.427764,270.0,top
R109,636.207629,51.237764,180.0,top
R11,568.8025,-3.0525,180.0,top
R110,616.5325,50.3725,270.0,top
R111,618.8825,51.1825,180.0,top
R112,599.2875,50.4475,270.0,top
R113,601.6625,51.2325,180.0,top
R114,590.6225,50.3975,270.0,top
R115,592.9725,51.1825,180.0,top
R116,573.5075,50.4325,270.0,top
R117,575.8575,51.2675,180.0,top
R118,582.0625,50.3975,270.0,top
R119,584.3875,51.2075,180.0,top
R12,568.7625,-2.0625,0.0,top
R120,567.1275,52.775,180.0,top
R121,567.1075,51.2175,180.0,top
R122,677.3625,-13.6425,180.0,top
R123,677.3375,-6.0925,180.0,top
R124,671.7125,-16.99,270.0,top
R125,672.7625,-16.9425,270.0,top
R126,670.6625,-17.005,90.0,top
R127,674.2325,-16.5025,180.0,top
R128,677.32,6.6775,180.0,top
R129,677.3325,-0.0025,180.0,top
R13,597.7916,4.618591,180.0,top
R130,671.6375,-7.125,90.0,top
R131,672.6875,-7.125,90.0,top
R132,670.5875,-7.13,270.0,top
R133,673.7625,-7.125,270.0,top
R134,680.27,26.4525,180.0,top
R135,681.4625,35.13,90.0,top
R136,675.54375,19.14125,90.0,top
R137,674.54375,19.13125,90.0,top
R138,676.54375,19.19125,270.0,top
R139,673.54375,19.14125,270.0,top
R14,597.7516,5.608591,0.0,top
R140,680.27625,19.71125,180.0,top
R141,680.28875,12.95625,180.0,top
R142,675.59375,9.36125,270.0,top
R143,674.59375,9.35125,270.0,top
R144,676.59375,9.36125,90.0,top
R145,673.59375,9.34125,90.0,top
R146,683.53,75.6925,0.0,top
R147,683.555,68.1925,0.0,top
R148,689.1425,79.025,90.0,top
R149,688.1425,79.025,90.0,top
R15,673.78,7.245,270.0,top
R150,690.1425,79.045,270.0,top
R151,687.1425,79.045,270.0,top
R152,683.505,55.4575,0.0,top
R153,683.5375,62.1725,0.0,top
R154,689.1925,69.245,270.0,top
R155,688.1925,69.235,270.0,top
R156,690.1925,69.255,90.0,top
R157,687.1925,69.245,90.0,top
R158,661.6975,58.1575,180.0,top
R159,661.7475,64.9075,180.0,top
R16,670.78,7.205,270.0,top
R160,656.36,63.745,270.0,top
R161,657.36,63.745,270.0,top
R162,655.36,63.695,90.0,top
R163,658.36,63.745,90.0,top
R164,661.7175,79.2075,180.0,top
R165,661.8425,72.3275,180.0,top
R166,656.46,73.565,90.0,top
R167,657.46,73.575,90.0,top
R168,655.46,73.585,270.0,top
R169,658.46,73.575,270.0,top
R17,673.78,-2.705,90.0,top
R18,670.78,-2.705,90.0,top
R19,566.2475,-2.571409,270.0,top
R2,667.05,-3.8425,0.0,top
R20,595.2366,5.098591,270.0,top
R21,641.0225,7.4175,90.0,top
R22,570.6725,-1.5725,180.0,top
